city,Admin1,Admin2,longitude,latitude,nx,ny,supersite,chunks,region
Carmel Valley Village,California,Monterey County,-121.623355865479,36.0938592817698,4,4,big_sur,16,1
Cambria,California,San Luis Obispo County,-121.433996200562,35.8649586745121,4,4,big_sur,16,1
Port Angeles,Washington,Clallam County,-123.566253662109,48.1439831572895,4,4,elwha,16,1
Port Angeles,Washington,Clallam County,-123.520677566528,48.1339655773157,4,4,elwha,16,1
Warrenton,Oregon,Clatsop County,-124.003509521484,46.2035928449024,4,4,columbia_river,16,1
Seaside,Oregon,Clatsop County,-123.929763793945,46.0006735754618,4,4,columbia_river,16,1
Half Moon Bay,California,San Mateo County,-122.40966796875,37.2843233152146,4,4,pescadero,16,1
Half Moon Bay,California,San Mateo County,-122.414886474609,37.2573851056928,4,4,pescadero,16,1
Bonny Doon,California,Santa Cruz County,-122.336059570313,37.1190441844497,4,4,pescadero,16,1
Castroville,California,Monterey County,-121.792098999023,36.7932568391077,4,4,monterey,16,1
Castroville,California,Monterey County,-121.799343109131,36.7709290976617,4,4,monterey,16,1
Castroville,California,Monterey County,-121.805145263672,36.7465862111372,4,4,monterey,16,1
Marina,California,Monterey County,-121.807376861572,36.7233920111891,4,4,monterey,16,1
Marina,California,Monterey County,-121.809986114502,36.7025854040161,4,4,monterey,16,1
Marina,California,Monterey County,-121.816200256348,36.6791017842019,4,4,monterey,16,1
Marina,California,Monterey County,-121.825881958008,36.6534354625841,4,4,monterey,16,1
Seaside,California,Monterey County,-121.841022491455,36.6317563585764,4,4,monterey,16,1
Seaside,California,Monterey County,-121.856128692627,36.6148382415558,4,4,monterey,16,1
Monterey,California,Monterey County,-121.888469696045,36.6005626173826,4,4,monterey,16,1
Seaside,California,Monterey County,-121.871337890625,36.6035942539214,4,4,monterey,16,1
Carmel-by-the-Sea,California,Monterey County,-121.92798614502,36.5366741480319,4,4,monterey,16,1
Daly City,California,San Mateo County,-122.512939453125,37.7713115092658,4,4,ocean_beach,16,1
Daly City,California,San Mateo County,-122.511463165283,37.759858243532,4,4,ocean_beach,16,1
Daly City,California,San Mateo County,-122.509780883789,37.7491905238851,4,4,ocean_beach,16,1
Daly City,California,San Mateo County,-122.508441925049,37.7381138506127,4,4,ocean_beach,16,1
Broadmoor,California,San Mateo County,-122.504940032959,37.7135385968573,4,4,ocean_beach,16,1
Broadmoor,California,San Mateo County,-122.506896972656,37.7263838975064,4,4,ocean_beach,16,1
Warrenton,Oregon,Clatsop County,-123.980438232422,46.1679415611128,4,4,columbia_river,16,1
Warrenton,Oregon,Clatsop County,-123.965057373047,46.1426380097171,4,4,columbia_river,16,1
Gearhart,Oregon,Clatsop County,-123.935806274414,46.0558851942843,4,4,columbia_river,16,1
Warrenton,Oregon,Clatsop County,-123.94596862793,46.0995151909674,4,4,columbia_river,16,1
Warrenton,Oregon,Clatsop County,-123.956130981445,46.1284597260408,4,4,columbia_river,16,1
Port Angeles,Washington,Clallam County,-123.555027008057,48.1496414670256,4,4,elwha,16,1
Port Angeles,Washington,Clallam County,-123.543800354004,48.1470987873018,4,4,elwha,16,1
Port Angeles,Washington,Clallam County,-123.534290313721,48.1429524399183,4,4,elwha,16,1
Port Angeles,Washington,Clallam County,-123.52938079834,48.1384047801118,4,4,elwha,16,1
Port Angeles,Washington,Clallam County,-123.506875991821,48.131370648308,4,4,elwha,16,1
Port Angeles,Washington,Clallam County,-123.49266242981,48.1315997861655,4,4,elwha,16,1
